               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.0988,            0.017232,                   0,          0.00099206,             0.45965,           0.0014379,           0.0003527,            0.080372,            0.012286,                   0,            0.070316,           0.0032982,           0.0032982
                   1,            0.068315,            0.014684,                   0,           0.0021175,             0.97957,             0.34369,              0.1197,            0.057139,            0.010679,                   0,            0.040294,           0.0066097,           0.0066097
                   2,            0.056287,            0.012874,                   0,             0.73272,             0.34014,             0.50884,             0.17292,            0.054279,           0.0085426,                   0,             0.01025,           0.0098991,           0.0098991
                   3,            0.054452,            0.011305,                   0,             0.62381,             0.55158,             0.57534,             0.18786,            0.050665,            0.008538,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.051401,           0.0093878,                   0,             0.59547,             0.55465,             0.56725,             0.19713,            0.054509,           0.0083875,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.050389,           0.0090153,                   0,             0.66581,             0.61798,             0.66212,             0.26675,            0.045999,           0.0072347,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.048901,           0.0082584,                   0,             0.69931,             0.65091,             0.71361,             0.32276,            0.042334,           0.0059454,                   0,            0.009835,            0.009835,            0.009835
                   7,             0.04832,           0.0081872,                   0,             0.66209,             0.64964,             0.68671,             0.28685,            0.046312,           0.0054499,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.045696,           0.0078625,                   0,             0.74116,             0.71502,             0.79122,             0.35323,            0.039881,           0.0055343,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.045673,           0.0074331,                   0,             0.73585,             0.70072,             0.77686,             0.36867,            0.038944,           0.0058036,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.044344,           0.0077548,                   0,             0.74934,             0.66568,             0.74392,             0.35161,            0.040831,           0.0056463,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.044059,           0.0074469,                   0,             0.78136,             0.68991,              0.7689,             0.37266,            0.040507,           0.0057503,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.043308,           0.0073055,                   0,             0.73127,             0.73442,             0.78417,             0.38219,            0.038942,           0.0052693,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.043196,           0.0069043,                   0,             0.65657,             0.50868,             0.55162,              0.2128,            0.055376,           0.0063245,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.042261,           0.0073314,                   0,             0.75045,             0.66701,             0.73784,             0.36856,            0.037897,           0.0057334,                   0,            0.009571,            0.009571,            0.009571
                  15,             0.04161,           0.0073814,                   0,             0.74247,              0.6333,             0.72988,             0.33396,            0.041691,           0.0058184,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.041245,            0.007106,                   0,              0.7751,             0.74259,             0.81074,             0.42062,            0.036272,           0.0052477,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.041018,           0.0067424,                   0,             0.68942,             0.70991,             0.74016,             0.35472,            0.039185,           0.0054471,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.042246,           0.0069225,                   0,             0.80219,             0.71808,             0.82146,              0.4257,            0.036598,           0.0050514,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.040456,           0.0075036,                   0,             0.77942,               0.693,              0.7771,             0.39632,            0.035764,           0.0057814,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.039882,           0.0065848,                   0,             0.80843,             0.76609,             0.84309,             0.40623,             0.03708,           0.0048911,                   0,            0.009373,            0.009373,            0.009373
                  21,             0.03977,           0.0072072,                   0,             0.76833,             0.78254,             0.85018,             0.40312,            0.038263,           0.0049019,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.039128,           0.0066474,                   0,             0.79905,             0.77173,              0.8515,             0.44104,            0.034751,           0.0048284,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.039741,           0.0066647,                   0,             0.77175,              0.7149,             0.78113,             0.36017,            0.040724,           0.0054469,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.039509,           0.0069522,                   0,             0.78137,             0.77426,             0.83588,             0.42873,            0.035219,           0.0046917,                   0,            0.009241,            0.009241,            0.009241
                  25,              0.0387,           0.0066961,                   0,             0.81437,             0.76181,             0.84713,             0.44936,            0.034936,           0.0050652,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.038348,           0.0062578,                   0,             0.76103,             0.73517,             0.80146,             0.39332,            0.037513,           0.0050051,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.039198,           0.0070363,                   0,              0.8208,             0.79469,             0.86797,             0.46448,            0.034086,           0.0046777,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.039081,           0.0068822,                   0,             0.80502,             0.77528,             0.85851,             0.41936,            0.037109,           0.0046189,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.037718,           0.0064509,                   0,              0.7836,             0.71385,             0.78522,             0.32179,            0.042855,           0.0048297,                   0,            0.009076,            0.009076,            0.009076
                  30,             0.03713,           0.0067674,                   0,             0.83482,             0.81001,             0.88949,             0.49796,            0.032663,           0.0043955,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.036425,           0.0066726,                   0,             0.83046,              0.7906,             0.86996,             0.48044,            0.033981,           0.0044943,                   0,             0.00901,             0.00901,             0.00901
                  32,            0.037456,           0.0065812,                   0,             0.83929,             0.81001,             0.87964,             0.48112,            0.033312,           0.0045267,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.036041,           0.0065516,                   0,              0.8781,             0.81676,             0.90081,             0.48936,            0.032553,           0.0042624,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.035928,           0.0061952,                   0,              0.8226,              0.8427,             0.90733,             0.51323,            0.031604,            0.004161,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.036705,           0.0064564,                   0,             0.82641,             0.84611,             0.90544,             0.49719,            0.032124,           0.0042744,                   0,            0.008878,            0.008878,            0.008878
                  36,             0.03602,            0.006228,                   0,             0.84258,             0.81512,             0.90755,             0.51465,            0.031106,           0.0042331,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.035569,           0.0065168,                   0,             0.83522,             0.83877,             0.89964,             0.49629,            0.032178,           0.0043361,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.036588,           0.0062083,                   0,             0.83023,             0.81512,             0.88306,             0.49763,            0.031391,           0.0044482,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.036057,           0.0064293,                   0,             0.84574,              0.8049,             0.88855,             0.48961,            0.033172,           0.0043816,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.03513,            0.006394,                   0,             0.85956,             0.84474,             0.92188,             0.54515,             0.02986,           0.0040443,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.035025,           0.0063596,                   0,             0.85329,             0.81614,             0.89714,             0.49579,            0.032494,           0.0044435,                   0,             0.00868,             0.00868,             0.00868
                  42,            0.034142,           0.0063327,                   0,             0.82651,             0.78345,             0.87146,              0.4938,            0.032219,           0.0045894,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.034702,           0.0059011,                   0,             0.84071,             0.84372,             0.91255,             0.53399,            0.030198,           0.0042794,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.035017,            0.006134,                   0,             0.83819,             0.79897,             0.89149,             0.48645,            0.033572,           0.0043371,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.034359,           0.0064269,                   0,             0.82794,             0.83657,             0.90203,               0.531,            0.029814,           0.0042319,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.033332,           0.0055686,                   0,             0.83426,             0.84319,             0.90957,               0.547,            0.029132,           0.0041138,                   0,            0.008515,            0.008515,            0.008515
                  47,             0.03415,           0.0061693,                   0,             0.85399,             0.83641,             0.91023,              0.5469,            0.028656,           0.0041832,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.033214,           0.0058377,                   0,             0.83853,             0.86461,             0.92302,             0.54061,            0.029728,           0.0041841,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.033047,           0.0062833,                   0,             0.85454,             0.83657,             0.90646,             0.51237,            0.031159,           0.0042311,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.033217,           0.0056074,                   0,             0.83991,             0.86517,             0.91946,             0.53965,            0.029281,           0.0040291,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.034091,           0.0058565,                   0,              0.8358,             0.83707,             0.90728,             0.54322,            0.030033,           0.0042656,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.033496,           0.0054001,                   0,             0.85132,             0.86721,             0.92528,             0.57106,            0.028057,           0.0038739,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.032991,           0.0058109,                   0,              0.8598,             0.83759,             0.89719,             0.48901,            0.033477,           0.0039971,                   0,            0.008284,            0.008284,            0.008284
                  54,             0.03316,            0.005856,                   0,             0.86077,              0.8907,             0.93446,             0.55911,            0.028202,           0.0038113,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.031513,            0.005561,                   0,             0.88136,             0.86507,             0.93742,             0.59557,            0.027031,           0.0040218,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.031844,           0.0058482,                   0,             0.89715,             0.84576,             0.93896,             0.59928,            0.026685,           0.0038146,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.031908,           0.0056131,                   0,             0.85457,             0.88355,             0.93002,             0.57851,            0.027239,           0.0040541,                   0,            0.008152,            0.008152,            0.008152
                  58,             0.03203,           0.0057041,                   0,             0.86059,             0.88275,             0.93189,              0.5757,            0.027919,            0.003922,                   0,            0.008119,            0.008119,            0.008119
                  59,             0.03154,           0.0057522,                   0,             0.87526,             0.89377,             0.94834,              0.6113,            0.026517,           0.0036916,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.031548,           0.0058362,                   0,             0.86463,             0.89173,             0.94228,             0.60599,            0.026555,           0.0036908,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.030818,           0.0055732,                   0,             0.88332,             0.87028,             0.93841,             0.57428,              0.0282,           0.0038262,                   0,             0.00802,             0.00802,             0.00802
                  62,            0.030261,           0.0057585,                   0,             0.87671,             0.89344,             0.94362,             0.61657,            0.026588,            0.003696,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.030625,           0.0054764,                   0,               0.904,             0.86108,              0.9488,             0.62034,            0.025568,            0.003653,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.031153,           0.0054469,                   0,             0.85186,             0.87519,             0.92588,             0.56069,             0.02804,           0.0039177,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.030944,            0.005228,                   0,             0.88458,             0.88457,             0.94542,              0.5883,            0.028043,           0.0036716,                   0,            0.007888,            0.007888,            0.007888
                  66,             0.03092,           0.0054401,                   0,             0.88456,             0.89581,             0.95595,             0.59468,            0.026909,           0.0036544,                   0,            0.007855,            0.007855,            0.007855
                  67,            0.031427,           0.0053328,                   0,             0.87828,             0.85087,             0.93346,              0.5906,            0.026914,           0.0037786,                   0,            0.007822,            0.007822,            0.007822
                  68,            0.030045,           0.0054676,                   0,             0.87866,             0.89377,             0.94927,             0.60984,            0.026015,           0.0036288,                   0,            0.007789,            0.007789,            0.007789
                  69,            0.029641,           0.0054847,                   0,             0.89289,             0.87947,               0.953,             0.62789,            0.025301,            0.003546,                   0,            0.007756,            0.007756,            0.007756
                  70,            0.030638,             0.00525,                   0,             0.86007,              0.8141,             0.89477,             0.56411,             0.02754,           0.0045462,                   0,            0.007723,            0.007723,            0.007723
                  71,            0.030893,           0.0055795,                   0,             0.89689,             0.89479,             0.95305,             0.57402,            0.027869,           0.0035837,                   0,             0.00769,             0.00769,             0.00769
                  72,            0.030279,           0.0056062,                   0,             0.87689,             0.90218,             0.94924,             0.61092,            0.025297,           0.0036083,                   0,            0.007657,            0.007657,            0.007657
                  73,            0.029239,           0.0056997,                   0,             0.91523,             0.91113,             0.96213,             0.65651,            0.023796,           0.0034195,                   0,            0.007624,            0.007624,            0.007624
                  74,            0.030447,           0.0055266,                   0,             0.91719,             0.90092,             0.95985,             0.62108,            0.025663,           0.0035654,                   0,            0.007591,            0.007591,            0.007591
                  75,            0.029695,           0.0053274,                   0,             0.87534,             0.89581,             0.95399,             0.63278,            0.024921,           0.0035806,                   0,            0.007558,            0.007558,            0.007558
                  76,            0.029886,           0.0054964,                   0,             0.88334,              0.8972,             0.95187,             0.62392,            0.024789,           0.0034786,                   0,            0.007525,            0.007525,            0.007525
                  77,            0.029952,           0.0052886,                   0,             0.90241,             0.89735,             0.95936,             0.59927,            0.027175,           0.0035036,                   0,            0.007492,            0.007492,            0.007492
                  78,            0.029413,           0.0053245,                   0,              0.8716,             0.92222,             0.96392,             0.63842,            0.024787,           0.0034002,                   0,            0.007459,            0.007459,            0.007459
                  79,            0.028761,           0.0051997,                   0,             0.91441,             0.92759,             0.97424,             0.65583,            0.024006,           0.0032058,                   0,            0.007426,            0.007426,            0.007426
                  80,            0.029316,           0.0051544,                   0,             0.88491,             0.87962,             0.93085,             0.54133,            0.031426,           0.0037684,                   0,            0.007393,            0.007393,            0.007393
                  81,            0.028963,           0.0050774,                   0,             0.90954,             0.86313,             0.94532,             0.60019,            0.026398,           0.0036755,                   0,             0.00736,             0.00736,             0.00736
                  82,            0.028597,           0.0052916,                   0,             0.90274,             0.89123,             0.95743,             0.60902,             0.02658,           0.0034496,                   0,            0.007327,            0.007327,            0.007327
                  83,            0.028356,            0.005138,                   0,             0.89879,              0.8799,             0.93854,             0.61589,            0.025365,           0.0040876,                   0,            0.007294,            0.007294,            0.007294
                  84,            0.028589,           0.0050784,                   0,             0.89064,             0.91828,             0.96732,             0.65566,            0.023579,           0.0033562,                   0,            0.007261,            0.007261,            0.007261
                  85,            0.027976,           0.0049642,                   0,             0.91415,             0.92448,             0.96999,             0.65794,            0.023855,           0.0032852,                   0,            0.007228,            0.007228,            0.007228
                  86,            0.028111,            0.004868,                   0,             0.89557,             0.91522,             0.96175,             0.64367,            0.024774,           0.0033596,                   0,            0.007195,            0.007195,            0.007195
                  87,            0.028941,           0.0050043,                   0,             0.90973,             0.91726,             0.96945,             0.66359,            0.023711,           0.0033013,                   0,            0.007162,            0.007162,            0.007162
                  88,            0.028376,             0.00489,                   0,             0.91793,             0.91399,             0.97152,             0.63171,            0.024673,           0.0032453,                   0,            0.007129,            0.007129,            0.007129
                  89,            0.027295,           0.0050372,                   0,             0.90244,             0.91652,             0.96565,             0.66691,            0.022964,           0.0032436,                   0,            0.007096,            0.007096,            0.007096
                  90,            0.028132,           0.0051792,                   0,             0.93779,             0.93054,             0.97298,             0.68058,            0.022577,           0.0030828,                   0,            0.007063,            0.007063,            0.007063
                  91,            0.028129,           0.0051709,                   0,             0.93525,             0.92955,             0.97723,             0.69126,            0.022086,           0.0031153,                   0,             0.00703,             0.00703,             0.00703
                  92,            0.027982,           0.0049543,                   0,             0.91608,              0.9142,             0.96425,              0.6564,            0.023903,           0.0032969,                   0,            0.006997,            0.006997,            0.006997
                  93,            0.027879,           0.0047194,                   0,             0.91498,             0.91216,             0.96449,             0.64955,            0.024291,           0.0032927,                   0,            0.006964,            0.006964,            0.006964
                  94,             0.02729,           0.0047175,                   0,             0.91053,             0.93156,             0.97082,             0.67552,            0.022671,           0.0031308,                   0,            0.006931,            0.006931,            0.006931
                  95,            0.027284,           0.0050326,                   0,             0.94315,             0.91113,              0.9776,             0.69632,            0.021717,           0.0031234,                   0,            0.006898,            0.006898,            0.006898
                  96,            0.026984,           0.0047924,                   0,             0.91474,             0.94178,             0.97443,             0.66991,            0.023271,           0.0031546,                   0,            0.006865,            0.006865,            0.006865
                  97,            0.026325,           0.0046169,                   0,             0.94316,             0.94921,             0.98282,             0.71685,            0.021054,           0.0028949,                   0,            0.006832,            0.006832,            0.006832
                  98,            0.026999,           0.0050417,                   0,             0.93594,             0.92532,             0.97937,             0.69502,            0.022119,           0.0030186,                   0,            0.006799,            0.006799,            0.006799
                  99,            0.027659,           0.0045975,                   0,             0.94068,             0.90705,             0.97456,             0.68306,             0.02239,           0.0030402,                   0,            0.006766,            0.006766,            0.006766
                 100,            0.026961,           0.0049675,                   0,             0.92491,              0.9285,              0.9747,             0.67837,            0.022879,           0.0031101,                   0,            0.006733,            0.006733,            0.006733
                 101,            0.026155,           0.0047819,                   0,             0.93597,             0.94072,             0.98268,             0.72313,             0.02039,           0.0028695,                   0,              0.0067,              0.0067,              0.0067
                 102,            0.026425,            0.004525,                   0,             0.93893,             0.93361,             0.98049,             0.70262,             0.02169,           0.0029577,                   0,            0.006667,            0.006667,            0.006667
                 103,            0.026348,           0.0050052,                   0,             0.94377,             0.92578,             0.98107,             0.71661,            0.020513,           0.0029313,                   0,            0.006634,            0.006634,            0.006634
                 104,            0.026151,           0.0050256,                   0,             0.93295,             0.95218,             0.98154,             0.71554,            0.020256,           0.0028754,                   0,            0.006601,            0.006601,            0.006601
                 105,            0.025468,           0.0044694,                   0,              0.9581,             0.93361,             0.98445,             0.72404,            0.020366,           0.0028842,                   0,            0.006568,            0.006568,            0.006568
                 106,            0.025741,           0.0046519,                   0,             0.93657,             0.91828,             0.97322,             0.69661,            0.021569,           0.0031677,                   0,            0.006535,            0.006535,            0.006535
                 107,            0.025663,           0.0043399,                   0,             0.94689,             0.94688,             0.98494,             0.72553,            0.020004,            0.002804,                   0,            0.006502,            0.006502,            0.006502
                 108,            0.025648,           0.0046988,                   0,             0.95488,             0.96016,             0.98753,             0.73015,            0.020175,           0.0027433,                   0,            0.006469,            0.006469,            0.006469
                 109,            0.025424,           0.0045622,                   0,             0.94767,             0.96118,             0.98464,             0.71473,             0.02059,           0.0027658,                   0,            0.006436,            0.006436,            0.006436
                 110,            0.025447,           0.0045695,                   0,             0.94813,             0.95914,             0.98507,             0.73784,              0.0196,           0.0026897,                   0,            0.006403,            0.006403,            0.006403
                 111,             0.02503,           0.0044278,                   0,             0.94399,             0.96401,             0.98464,             0.73636,            0.019522,           0.0027239,                   0,             0.00637,             0.00637,             0.00637
                 112,            0.025313,           0.0047011,                   0,               0.959,             0.96936,             0.98838,              0.7478,            0.019174,           0.0026675,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.025548,           0.0043839,                   0,             0.95068,              0.9451,             0.98135,             0.73898,            0.019484,           0.0028332,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.024301,           0.0045222,                   0,             0.95394,             0.95812,             0.98644,             0.75134,            0.018689,           0.0026792,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.024048,           0.0043981,                   0,             0.95088,             0.95608,             0.98628,             0.75103,            0.019295,           0.0026992,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.024232,            0.004657,                   0,             0.94988,             0.96629,              0.9862,             0.73498,            0.019606,            0.002696,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.024917,           0.0043291,                   0,             0.94483,             0.94586,             0.98446,             0.71209,            0.021375,            0.002786,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.024786,           0.0044361,                   0,              0.9521,               0.934,             0.98179,             0.70558,            0.021766,           0.0028861,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.024405,           0.0043953,                   0,              0.9501,             0.97239,             0.98815,             0.74746,            0.019393,           0.0026438,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.024768,           0.0044881,                   0,             0.95645,             0.96457,             0.98901,             0.73737,            0.019561,           0.0026239,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.024079,            0.004438,                   0,             0.94727,             0.95812,             0.98669,             0.74433,            0.019408,           0.0026463,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.024674,           0.0041914,                   0,             0.95151,             0.96201,             0.98707,             0.72124,            0.020628,           0.0027192,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.024061,           0.0045569,                   0,             0.96212,             0.95983,             0.98854,             0.75058,            0.018939,           0.0025689,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.023418,           0.0041259,                   0,             0.95073,             0.96577,             0.98813,             0.75256,            0.018634,           0.0026584,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.023391,           0.0043126,                   0,             0.95297,             0.97446,             0.98843,             0.75192,            0.018105,           0.0025841,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.023989,            0.004511,                   0,             0.96806,             0.96527,             0.99032,             0.76176,            0.018408,           0.0024916,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.023194,           0.0042223,                   0,             0.95844,             0.96581,             0.98912,             0.75623,            0.018338,           0.0024849,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.023861,           0.0042044,                   0,             0.97436,             0.97057,             0.99111,             0.76706,            0.018135,           0.0024365,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.024304,           0.0041951,                   0,             0.97232,             0.96888,             0.99181,             0.76191,            0.018016,            0.002485,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.022973,           0.0041836,                   0,               0.949,             0.96731,             0.98769,             0.73397,            0.019345,           0.0025681,                   0,            0.005743,            0.005743,            0.005743
                 131,             0.02375,           0.0042525,                   0,             0.94312,             0.96535,             0.98668,             0.74499,            0.019038,            0.002595,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.023219,           0.0044189,                   0,             0.96583,             0.97242,             0.98974,             0.76731,            0.017732,           0.0024342,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.023453,           0.0042582,                   0,             0.96448,             0.98264,             0.99186,             0.77309,            0.017529,           0.0023641,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.023149,           0.0044551,                   0,             0.96665,             0.97701,             0.99193,             0.77631,            0.016984,            0.002401,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.022547,           0.0040439,                   0,              0.9712,              0.9857,             0.99301,             0.78912,            0.016671,           0.0023435,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.021824,           0.0041727,                   0,             0.97676,             0.98759,             0.99261,             0.77334,            0.017688,           0.0023249,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.022024,           0.0039805,                   0,             0.97158,              0.9777,             0.99185,             0.77658,            0.017418,           0.0023402,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.021973,           0.0038573,                   0,             0.97176,             0.97651,             0.99234,             0.79052,            0.016803,           0.0023447,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.022174,           0.0039247,                   0,             0.97129,             0.97549,             0.99267,             0.78053,             0.01719,           0.0023003,                   0,            0.005446,            0.005446,            0.005446
                 140,             0.02252,           0.0038005,                   0,               0.976,             0.96323,             0.99027,             0.77816,            0.017347,           0.0024031,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.022218,           0.0042413,                   0,             0.97861,             0.98149,             0.99332,             0.78352,            0.016847,           0.0023425,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.022383,           0.0040286,                   0,             0.97928,             0.97038,             0.99291,             0.78123,            0.017164,           0.0023125,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.021654,           0.0041229,                   0,             0.97151,             0.97531,             0.99181,             0.79231,            0.016361,           0.0023287,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.021297,            0.004099,                   0,             0.99102,             0.97957,             0.99378,              0.8041,            0.015791,           0.0021747,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.021467,           0.0038877,                   0,              0.9757,             0.98876,             0.99382,             0.80543,            0.015741,            0.002215,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.021273,           0.0038584,                   0,             0.97165,             0.98021,             0.99259,             0.77549,            0.017427,           0.0022818,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.021139,           0.0038556,                   0,              0.9699,             0.98746,             0.99279,             0.78218,            0.016623,           0.0022268,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.021129,           0.0038052,                   0,             0.98521,             0.97651,             0.99279,             0.80013,            0.016097,           0.0022154,                   0,            0.005149,            0.005149,            0.005149
