Strip,Photo Number,X [m],Y [m],Alt. ASL [m],Alt. AGL [m],Omega [deg],Phi [deg],Kappa [deg],xcoord,ycoord
"0001","00001",379248.16,4699475.33,286.73,2,0,0,31,-76.4681464735293,42.4382028964532
"0001","00002",379248.79,4699475.71,286.74,2.01,0,0,31,-76.4681389512259,42.438206376908
"0001","00003",379249.41,4699476.08,286.76,2.03,0,0,31,-76.4681314289216,42.4382098573623
"0001","00004",379250.04,4699476.46,286.77,1.99,0,0,31,-76.4681239066164,42.4382133378161
"0001","00005",379250.66,4699476.83,286.79,2,0,0,31,-76.4681163843104,42.4382168182695
"0001","00006",379251.29,4699477.21,286.8,2.02,0,0,31,-76.4681088620036,42.4382202987223
"0001","00007",379251.91,4699477.59,286.81,2.04,0,0,31,-76.4681013396959,42.4382237791747
"0001","00008",379252.54,4699477.96,286.83,2.02,0,0,31,-76.4680938173874,42.4382272596266
"0001","00009",379253.16,4699478.34,286.84,2.02,0,0,31,-76.4680862950781,42.438230740078
"0001","00010",379253.79,4699478.71,286.85,2.03,0,0,31,-76.4680787727679,42.4382342205289
"0001","00011",379254.41,4699479.09,286.87,2.04,0,0,31,-76.4680712504569,42.4382377009793
"0001","00012",379255.04,4699479.46,286.88,2.01,0,0,31,-76.468063728145,42.4382411814293
"0001","00013",379255.66,4699479.84,286.9,2.02,0,0,31,-76.4680562058323,42.4382446618787
"0001","00014",379256.29,4699480.22,286.91,2.01,0,0,31,-76.4680486835187,42.4382481423277
"0001","00015",379256.92,4699480.59,286.92,2.02,0,0,31,-76.4680411612043,42.4382516227762
"0001","00016",379257.54,4699480.97,286.94,1.99,0,0,31,-76.4680336388891,42.4382551032243
"0001","00017",379258.17,4699481.34,286.95,2,0,0,31,-76.468026116573,42.4382585836718
"0001","00018",379258.79,4699481.72,286.97,2.02,0,0,31,-76.4680185942561,42.4382620641189
"0001","00019",379259.42,4699482.09,286.98,2,0,0,31,-76.4680110719383,42.4382655445654
"0001","00020",379260.04,4699482.47,286.99,1.98,0,0,31,-76.4680035496197,42.4382690250115
"0001","00021",379260.67,4699482.85,287.01,2,0,0,31,-76.4679960273003,42.4382725054571
"0001","00022",379261.29,4699483.22,287.02,2.02,0,0,31,-76.46798850498,42.4382759859022
"0001","00023",379261.92,4699483.6,287.04,2.03,0,0,31,-76.4679809826588,42.4382794663469
"0001","00024",379262.54,4699483.97,287.05,2.01,0,0,31,-76.4679734603369,42.438282946791
"0001","00025",379263.17,4699484.35,287.06,2.03,0,0,31,-76.4679659380141,42.4382864272347
"0001","00026",379263.79,4699484.73,287.08,2.05,0,0,31,-76.4679584156904,42.4382899076779
"0001","00027",379264.42,4699485.1,287.09,2,0,0,31,-76.4679508933659,42.4382933881206
"0002","00054",379248.66,4699474.5,286.76,2,0,0,211,-76.4681402087211,42.4381954675551
"0002","00053",379249.29,4699474.87,286.77,1.97,0,0,211,-76.4681326864182,42.4381989480095
"0002","00052",379249.91,4699475.25,286.78,2.01,0,0,211,-76.4681251641144,42.4382024284634
"0002","00051",379250.54,4699475.62,286.8,1.98,0,0,211,-76.4681176418098,42.4382059089168
"0002","00050",379251.16,4699476,286.81,2,0,0,211,-76.4681101195043,42.4382093893697
"0002","00049",379251.79,4699476.38,286.82,2.01,0,0,211,-76.468102597198,42.4382128698221
"0002","00048",379252.41,4699476.75,286.84,2,0,0,211,-76.4680950748908,42.4382163502741
"0002","00047",379253.04,4699477.13,286.85,1.98,0,0,211,-76.4680875525828,42.4382198307255
"0002","00046",379253.66,4699477.5,286.86,2,0,0,211,-76.468080030274,42.4382233111765
"0002","00045",379254.29,4699477.88,286.87,1.98,0,0,211,-76.4680725079644,42.438226791627
"0002","00044",379254.92,4699478.25,286.89,2.04,0,0,211,-76.4680649856538,42.4382302720771
"0002","00043",379255.54,4699478.63,286.9,1.99,0,0,211,-76.4680574633425,42.4382337525266
"0002","00042",379256.17,4699479.01,286.91,1.99,0,0,211,-76.4680499410303,42.4382372329757
"0002","00041",379256.79,4699479.38,286.92,2,0,0,211,-76.4680424187172,42.4382407134242
"0002","00040",379257.42,4699479.76,286.94,1.97,0,0,211,-76.4680348964034,42.4382441938723
"0002","00039",379258.04,4699480.13,286.95,1.98,0,0,211,-76.4680273740886,42.4382476743199
"0002","00038",379258.67,4699480.51,286.96,1.99,0,0,211,-76.4680198517731,42.438251154767
"0002","00037",379259.29,4699480.89,286.98,1.94,0,0,211,-76.4680123294567,42.4382546352137
"0002","00036",379259.92,4699481.26,286.99,1.97,0,0,211,-76.4680048071395,42.4382581156598
"0002","00035",379260.54,4699481.64,287,1.95,0,0,211,-76.4679972848214,42.4382615961055
"0002","00034",379261.17,4699482.01,287.01,1.98,0,0,211,-76.4679897625024,42.4382650765507
"0002","00033",379261.79,4699482.39,287.03,1.99,0,0,211,-76.4679822401827,42.4382685569954
"0002","00032",379262.42,4699482.76,287.04,1.97,0,0,211,-76.467974717862,42.4382720374396
"0002","00031",379263.05,4699483.14,287.05,1.98,0,0,211,-76.4679671955406,42.4382755178834
"0002","00030",379263.67,4699483.52,287.07,1.99,0,0,211,-76.4679596732183,42.4382789983266
"0002","00029",379264.3,4699483.89,287.08,1.96,0,0,211,-76.4679521508952,42.4382824787694
"0002","00028",379264.92,4699484.27,287.09,2,0,0,211,-76.4679446285712,42.4382859592117
"0003","00055",379249.16,4699473.66,286.81,2,0,0,31,-76.4681339439144,42.4381880386566
"0003","00056",379249.79,4699474.04,286.82,2.02,0,0,31,-76.468126421612,42.4381915191106
"0003","00057",379250.41,4699474.41,286.84,2,0,0,31,-76.4681188993087,42.438194999564
"0003","00058",379251.04,4699474.79,286.85,1.98,0,0,31,-76.4681113770046,42.438198480017
"0003","00059",379251.66,4699475.17,286.86,2.03,0,0,31,-76.4681038546997,42.4382019604695
"0003","00060",379252.29,4699475.54,286.88,2.01,0,0,31,-76.4680963323939,42.4382054409215
"0003","00061",379252.91,4699475.92,286.89,2.02,0,0,31,-76.4680888100872,42.4382089213731
"0003","00062",379253.54,4699476.29,286.9,2.01,0,0,31,-76.4680812877798,42.4382124018241
"0003","00063",379254.17,4699476.67,286.92,1.99,0,0,31,-76.4680737654715,42.4382158822747
"0003","00064",379254.79,4699477.05,286.93,2.04,0,0,31,-76.4680662431623,42.4382193627248
"0003","00065",379255.42,4699477.42,286.94,2,0,0,31,-76.4680587208523,42.4382228431744
"0003","00066",379256.04,4699477.8,286.95,1.97,0,0,31,-76.4680511985415,42.4382263236235
"0003","00067",379256.67,4699478.17,286.97,2.01,0,0,31,-76.4680436762298,42.4382298040722
"0003","00068",379257.29,4699478.55,286.98,1.98,0,0,31,-76.4680361539173,42.4382332845203
"0003","00069",379257.92,4699478.92,286.99,2,0,0,31,-76.4680286316039,42.438236764968
"0003","00070",379258.54,4699479.3,287.01,1.98,0,0,31,-76.4680211092897,42.4382402454152
"0003","00071",379259.17,4699479.68,287.02,1.94,0,0,31,-76.4680135869747,42.4382437258619
"0003","00072",379259.79,4699480.05,287.03,1.99,0,0,31,-76.4680060646588,42.4382472063081
"0003","00073",379260.42,4699480.43,287.05,1.97,0,0,31,-76.4679985423421,42.4382506867539
"0003","00074",379261.04,4699480.8,287.06,1.97,0,0,31,-76.4679910200245,42.4382541671991
"0003","00075",379261.67,4699481.18,287.07,2.01,0,0,31,-76.4679834977061,42.4382576476439
"0003","00076",379262.3,4699481.55,287.08,2,0,0,31,-76.4679759753868,42.4382611280882
"0003","00077",379262.92,4699481.93,287.1,2.01,0,0,31,-76.4679684530667,42.438264608532
"0003","00078",379263.55,4699482.31,287.11,2,0,0,31,-76.4679609307458,42.4382680889753
"0003","00079",379264.17,4699482.68,287.12,1.97,0,0,31,-76.4679534084241,42.4382715694182
"0003","00080",379264.8,4699483.06,287.14,2.02,0,0,31,-76.4679458861014,42.4382750498605
"0003","00081",379265.42,4699483.43,287.15,2,0,0,31,-76.467938363778,42.4382785303024
"0004","00108",379249.66,4699472.83,286.82,2,0,0,211,-76.4681276791092,42.4381806097577
"0004","00107",379250.29,4699473.21,286.84,1.99,0,0,211,-76.4681201568073,42.4381840902113
"0004","00106",379250.91,4699473.58,286.85,2,0,0,211,-76.4681126345045,42.4381875706643
"0004","00105",379251.54,4699473.96,286.87,1.97,0,0,211,-76.4681051122009,42.4381910511169
"0004","00104",379252.16,4699474.33,286.88,1.99,0,0,211,-76.4680975898965,42.438194531569
"0004","00103",379252.79,4699474.71,286.89,2,0,0,211,-76.4680900675912,42.4381980120206
"0004","00102",379253.42,4699475.08,286.91,1.99,0,0,211,-76.4680825452851,42.4382014924717
"0004","00101",379254.04,4699475.46,286.92,1.98,0,0,211,-76.4680750229782,42.4382049729224
"0004","00100",379254.67,4699475.84,286.94,1.99,0,0,211,-76.4680675006704,42.4382084533725
"0004","00099",379255.29,4699476.21,286.95,1.97,0,0,211,-76.4680599783618,42.4382119338222
"0004","00098",379255.92,4699476.59,286.96,1.99,0,0,211,-76.4680524560523,42.4382154142714
"0004","00097",379256.54,4699476.96,286.98,1.98,0,0,211,-76.468044933742,42.4382188947201
"0004","00096",379257.17,4699477.34,286.99,1.97,0,0,211,-76.4680374114308,42.4382223751683
"0004","00095",379257.79,4699477.71,287.01,1.98,0,0,211,-76.4680298891188,42.4382258556161
"0004","00094",379258.42,4699478.09,287.02,1.97,0,0,211,-76.468022366806,42.4382293360633
"0004","00093",379259.04,4699478.47,287.04,1.93,0,0,211,-76.4680148444923,42.4382328165101
"0004","00092",379259.67,4699478.84,287.05,1.95,0,0,211,-76.4680073221778,42.4382362969564
"0004","00091",379260.29,4699479.22,287.06,1.96,0,0,211,-76.4679997998624,42.4382397774022
"0004","00090",379260.92,4699479.59,287.08,1.97,0,0,211,-76.4679922775462,42.4382432578475
"0004","00089",379261.55,4699479.97,287.09,1.97,0,0,211,-76.4679847552292,42.4382467382924
"0004","00088",379262.17,4699480.34,287.11,1.99,0,0,211,-76.4679772329113,42.4382502187367
"0004","00087",379262.8,4699480.72,287.12,2,0,0,211,-76.4679697105925,42.4382536991806
"0004","00086",379263.42,4699481.1,287.13,2,0,0,211,-76.4679621882729,42.438257179624
"0004","00085",379264.05,4699481.47,287.15,1.97,0,0,211,-76.4679546659525,42.4382606600669
"0004","00084",379264.67,4699481.85,287.16,1.98,0,0,211,-76.4679471436313,42.4382641405093
"0004","00083",379265.3,4699482.22,287.18,1.99,0,0,211,-76.4679396213092,42.4382676209513
"0004","00082",379265.92,4699482.6,287.19,2,0,0,211,-76.4679320989863,42.4382711013927
"0005","00109",379250.16,4699472,286.86,2,0,0,31,-76.4681214143055,42.4381731808585
"0005","00110",379250.79,4699472.37,286.88,2.01,0,0,31,-76.4681138920041,42.4381766613116
"0005","00111",379251.42,4699472.75,286.89,1.99,0,0,31,-76.4681063697018,42.4381801417643
"0005","00112",379252.04,4699473.12,286.91,2.01,0,0,31,-76.4680988473988,42.4381836222164
"0005","00113",379252.67,4699473.5,286.93,2.02,0,0,31,-76.4680913250949,42.4381871026681
"0005","00114",379253.29,4699473.87,286.94,2.01,0,0,31,-76.4680838027901,42.4381905831193
"0005","00115",379253.92,4699474.25,286.96,2.03,0,0,31,-76.4680762804845,42.43819406357
"0005","00116",379254.54,4699474.63,286.98,2.01,0,0,31,-76.4680687581781,42.4381975440202
"0005","00117",379255.17,4699475,286.99,2,0,0,31,-76.4680612358708,42.4382010244699
"0005","00118",379255.79,4699475.38,287.01,2.02,0,0,31,-76.4680537135627,42.4382045049192
"0005","00119",379256.42,4699475.75,287.03,2.01,0,0,31,-76.4680461912537,42.438207985368
"0005","00120",379257.04,4699476.13,287.04,2,0,0,31,-76.468038668944,42.4382114658163
"0005","00121",379257.67,4699476.5,287.06,2.01,0,0,31,-76.4680311466333,42.4382149462641
"0005","00122",379258.29,4699476.88,287.07,1.99,0,0,31,-76.4680236243218,42.4382184267114
"0005","00123",379258.92,4699477.26,287.09,2.03,0,0,31,-76.4680161020095,42.4382219071583
"0005","00124",379259.55,4699477.63,287.11,2,0,0,31,-76.4680085796964,42.4382253876046
"0005","00125",379260.17,4699478.01,287.12,1.99,0,0,31,-76.4680010573823,42.4382288680505
"0005","00126",379260.8,4699478.38,287.14,2,0,0,31,-76.4679935350675,42.4382323484959
"0005","00127",379261.42,4699478.76,287.16,1.99,0,0,31,-76.4679860127518,42.4382358289408
"0005","00128",379262.05,4699479.14,287.17,2.02,0,0,31,-76.4679784904353,42.4382393093852
"0005","00129",379262.67,4699479.51,287.19,2.04,0,0,31,-76.4679709681179,42.4382427898292
"0005","00130",379263.3,4699479.89,287.21,2.04,0,0,31,-76.4679634457997,42.4382462702726
"0005","00131",379263.92,4699480.26,287.22,2.08,0,0,31,-76.4679559234806,42.4382497507156
"0005","00132",379264.55,4699480.64,287.24,2.04,0,0,31,-76.4679484011608,42.4382532311581
"0005","00133",379265.17,4699481.01,287.26,2.01,0,0,31,-76.46794087884,42.4382567116001
"0005","00134",379265.8,4699481.39,287.27,2.03,0,0,31,-76.4679333565184,42.4382601920416
"0005","00135",379266.42,4699481.77,287.29,2,0,0,31,-76.467925834196,42.4382636724827
"0006","00162",379250.67,4699471.16,286.86,2,0,0,211,-76.4681151495032,42.4381657519589
"0006","00161",379251.29,4699471.54,286.88,2,0,0,211,-76.4681076272024,42.4381692324116
"0006","00160",379251.92,4699471.91,286.9,2.02,0,0,211,-76.4681001049007,42.4381727128638
"0006","00159",379252.54,4699472.29,286.91,2.01,0,0,211,-76.4680925825981,42.4381761933156
"0006","00158",379253.17,4699472.66,286.93,2.02,0,0,211,-76.4680850602947,42.4381796737668
"0006","00157",379253.79,4699473.04,286.95,2.01,0,0,211,-76.4680775379905,42.4381831542176
"0006","00156",379254.42,4699473.42,286.96,2,0,0,211,-76.4680700156854,42.4381866346679
"0006","00155",379255.04,4699473.79,286.98,1.97,0,0,211,-76.4680624933795,42.4381901151177
"0006","00154",379255.67,4699474.17,287,1.99,0,0,211,-76.4680549710727,42.438193595567
"0006","00153",379256.29,4699474.54,287.01,1.97,0,0,211,-76.4680474487651,42.4381970760158
"0006","00152",379256.92,4699474.92,287.03,1.99,0,0,211,-76.4680399264567,42.4382005564642
"0006","00151",379257.54,4699475.3,287.05,1.99,0,0,211,-76.4680324041474,42.4382040369121
"0006","00150",379258.17,4699475.67,287.07,1.96,0,0,211,-76.4680248818373,42.4382075173595
"0006","00149",379258.8,4699476.05,287.08,2,0,0,211,-76.4680173595264,42.4382109978064
"0006","00148",379259.42,4699476.42,287.1,1.96,0,0,211,-76.4680098372146,42.4382144782528
"0006","00147",379260.05,4699476.8,287.12,1.92,0,0,211,-76.4680023149019,42.4382179586988
"0006","00146",379260.67,4699477.17,287.13,1.96,0,0,211,-76.4679947925884,42.4382214391442
"0006","00145",379261.3,4699477.55,287.15,1.95,0,0,211,-76.4679872702741,42.4382249195892
"0006","00144",379261.92,4699477.93,287.17,1.96,0,0,211,-76.4679797479589,42.4382284000337
"0006","00143",379262.55,4699478.3,287.18,2,0,0,211,-76.4679722256429,42.4382318804777
"0006","00142",379263.17,4699478.68,287.2,2.01,0,0,211,-76.4679647033261,42.4382353609212
"0006","00141",379263.8,4699479.05,287.22,2.05,0,0,211,-76.4679571810084,42.4382388413643
"0006","00140",379264.42,4699479.43,287.24,2.03,0,0,211,-76.4679496586898,42.4382423218068
"0006","00139",379265.05,4699479.8,287.25,1.97,0,0,211,-76.4679421363705,42.4382458022489
"0006","00138",379265.67,4699480.18,287.27,2,0,0,211,-76.4679346140503,42.4382492826905
"0006","00137",379266.3,4699480.56,287.29,1.98,0,0,211,-76.4679270917292,42.4382527631316
"0006","00136",379266.93,4699480.93,287.3,2,0,0,211,-76.4679195694073,42.4382562435723
"0007","00163",379251.17,4699470.33,286.83,2,0,0,31,-76.4681088847025,42.4381583230589
"0007","00164",379251.79,4699470.7,286.86,2.03,0,0,31,-76.4681013624022,42.4381618035112
"0007","00165",379252.42,4699471.08,286.89,2.01,0,0,31,-76.468093840101,42.438165283963
"0007","00166",379253.04,4699471.46,286.91,2.03,0,0,31,-76.4680863177989,42.4381687644143
"0007","00167",379253.67,4699471.83,286.94,2.05,0,0,31,-76.4680787954961,42.4381722448652
"0007","00168",379254.29,4699472.21,286.96,2.02,0,0,31,-76.4680712731924,42.4381757253155
"0007","00169",379254.92,4699472.58,286.99,2.05,0,0,31,-76.4680637508878,42.4381792057654
"0007","00170",379255.54,4699472.96,287.02,2.03,0,0,31,-76.4680562285824,42.4381826862148
"0007","00171",379256.17,4699473.33,287.04,2.01,0,0,31,-76.4680487062762,42.4381861666637
"0007","00172",379256.79,4699473.71,287.07,2.04,0,0,31,-76.4680411839691,42.4381896471121
"0007","00173",379257.42,4699474.09,287.1,2.02,0,0,31,-76.4680336616612,42.4381931275601
"0007","00174",379258.05,4699474.46,287.12,2,0,0,31,-76.4680261393524,42.4381966080075
"0007","00175",379258.67,4699474.84,287.15,2.02,0,0,31,-76.4680186170428,42.4382000884545
"0007","00176",379259.3,4699475.21,287.17,2.01,0,0,31,-76.4680110947324,42.438203568901
"0007","00177",379259.92,4699475.59,287.2,2.04,0,0,31,-76.4680035724211,42.438207049347
"0007","00178",379260.55,4699475.96,287.22,2,0,0,31,-76.467996050109,42.4382105297925
"0007","00179",379261.17,4699476.34,287.23,1.99,0,0,31,-76.467988527796,42.4382140102376
"0007","00180",379261.8,4699476.72,287.24,2,0,0,31,-76.4679810054822,42.4382174906822
"0007","00181",379262.42,4699477.09,287.24,2.03,0,0,31,-76.4679734831675,42.4382209711262
"0007","00182",379263.05,4699477.47,287.25,2.03,0,0,31,-76.4679659608521,42.4382244515698
"0007","00183",379263.67,4699477.84,287.26,2.04,0,0,31,-76.4679584385357,42.4382279320129
"0007","00184",379264.3,4699478.22,287.27,2.04,0,0,31,-76.4679509162185,42.4382314124556
"0007","00185",379264.92,4699478.59,287.28,2.05,0,0,31,-76.4679433939005,42.4382348928977
"0007","00186",379265.55,4699478.97,287.28,2,0,0,31,-76.4679358715817,42.4382383733394
"0007","00187",379266.18,4699479.35,287.29,1.98,0,0,31,-76.467928349262,42.4382418537806
"0007","00188",379266.8,4699479.72,287.3,1.98,0,0,31,-76.4679208269414,42.4382453342213
"0007","00189",379267.43,4699480.1,287.31,2,0,0,31,-76.4679133046201,42.4382488146615
